Timestamp_MS,Angulo,PWM_Reportado,Modo,Escalon_Set,Timestamp_Python
4773960,-0.19,0.0,IDLE,0,1775685519.1796
4773970,-0.19,0.0,IDLE,0,1775685519.1802
4773980,-0.19,0.0,IDLE,0,1775685519.1806
4773990,-0.19,0.0,IDLE,0,1775685519.1809
4774000,-0.20,0.0,IDLE,0,1775685519.1812
4774010,-0.20,0.0,IDLE,0,1775685519.1815
4774020,-0.20,0.0,IDLE,0,1775685519.1818
4774030,-0.20,0.0,IDLE,0,1775685519.1824
4774040,-0.19,0.0,IDLE,0,1775685519.1829
4774050,-0.19,0.0,IDLE,0,1775685519.1833
4774060,-0.19,0.0,IDLE,0,1775685519.1835
4774070,-0.19,0.0,IDLE,0,1775685519.1838
4774080,-0.18,0.0,IDLE,0,1775685519.1841
4774090,-0.18,0.0,IDLE,0,1775685519.1843
4774100,-0.19,0.0,IDLE,0,1775685519.1846
4774110,-0.19,0.0,IDLE,0,1775685519.1848
4774120,-0.19,0.0,IDLE,0,1775685519.185
4774130,-0.19,0.0,IDLE,0,1775685519.1852
4774140,-0.19,0.0,IDLE,0,1775685519.1855
4774150,-0.19,0.0,IDLE,0,1775685519.1857
4774160,-0.19,0.0,IDLE,0,1775685519.1859
4774170,-0.19,0.0,IDLE,0,1775685519.1861
4774180,-0.19,0.0,IDLE,0,1775685519.1863
4774190,-0.19,0.0,IDLE,0,1775685519.1865
4774200,-0.19,0.0,IDLE,0,1775685519.1867
4774210,-0.18,0.0,IDLE,0,1775685519.187
4774220,-0.18,0.0,IDLE,0,1775685519.1872
4774230,-0.19,0.0,IDLE,0,1775685519.1874
4774240,-0.19,0.0,IDLE,0,1775685519.1877
4774250,-0.19,0.0,IDLE,0,1775685519.1879
4774260,-0.19,0.0,IDLE,0,1775685519.1881
4774270,-0.19,0.0,IDLE,0,1775685519.1883
4774280,-0.19,0.0,IDLE,0,1775685519.1885
4774290,-0.19,0.0,IDLE,0,1775685519.1887
4774300,-0.19,0.0,IDLE,0,1775685519.1889
4774310,-0.19,0.0,IDLE,0,1775685519.1891
4774320,-0.19,0.0,IDLE,0,1775685519.1894
4774330,-0.19,0.0,IDLE,0,1775685519.1896
4774340,-0.19,0.0,IDLE,0,1775685519.1898
4774350,-0.19,0.0,IDLE,0,1775685519.19
4774360,-0.19,0.0,IDLE,0,1775685519.1902
4774370,-0.19,0.0,IDLE,0,1775685519.1904
4774380,-0.19,0.0,IDLE,0,1775685519.1907
4774390,-0.19,0.0,IDLE,0,1775685519.1909
4774400,-0.19,0.0,IDLE,0,1775685519.1911
4774410,-0.19,0.0,IDLE,0,1775685519.1913
4774420,-0.19,0.0,IDLE,0,1775685519.1916
4774430,-0.19,0.0,IDLE,0,1775685519.1918
4774440,-0.19,0.0,IDLE,0,1775685519.192
4774450,-0.18,0.0,IDLE,0,1775685519.1922
4774460,-0.18,0.0,IDLE,0,1775685519.1924
4774470,-0.19,0.0,IDLE,0,1775685519.1926
4774480,-0.19,0.0,IDLE,0,1775685519.1929
4774490,-0.19,0.0,IDLE,0,1775685519.1931
4774500,-0.19,0.0,IDLE,0,1775685519.1934
4774510,-0.19,0.0,IDLE,0,1775685519.1936
4774520,-0.19,0.0,IDLE,0,1775685519.1938
4774530,-0.19,0.0,IDLE,0,1775685519.194
4774540,-0.19,0.0,IDLE,0,1775685519.1942
4774550,-0.19,0.0,IDLE,0,1775685519.1945
4774560,-0.19,0.0,IDLE,0,1775685519.1947
4774570,-0.19,0.0,IDLE,0,1775685519.1949
4774580,-0.19,0.0,IDLE,0,1775685519.1951
4774590,-0.19,0.0,IDLE,0,1775685519.1954
4774600,-0.19,0.0,IDLE,0,1775685519.1956
4774610,-0.19,0.0,IDLE,0,1775685519.1958
4774620,-0.20,0.0,IDLE,0,1775685519.1961
4774630,-0.20,0.0,IDLE,0,1775685519.1964
4774640,-0.20,0.0,IDLE,0,1775685519.1966
4774650,-0.20,0.0,IDLE,0,1775685519.1969
4774660,-0.20,0.0,IDLE,0,1775685519.1971
4774670,-0.19,0.0,IDLE,0,1775685519.1974
4774680,-0.19,0.0,IDLE,0,1775685519.1976
4774690,-0.19,0.0,IDLE,0,1775685519.1979
4774700,-0.19,0.0,IDLE,0,1775685519.1981
4774710,-0.19,0.0,IDLE,0,1775685519.1983
4774720,-0.19,0.0,IDLE,0,1775685519.1986
4774730,-0.20,0.0,IDLE,0,1775685519.1988
4774740,-0.20,0.0,IDLE,0,1775685519.199
4774750,-0.20,0.0,IDLE,0,1775685519.1993
4774760,-0.20,0.0,IDLE,0,1775685519.1996
4774770,-0.20,0.0,IDLE,0,1775685519.1998
4774780,-0.20,0.0,IDLE,0,1775685519.2001
4774790,-0.20,0.0,IDLE,0,1775685519.2003
4774800,-0.19,0.0,IDLE,0,1775685519.2006
4774810,-0.19,0.0,IDLE,0,1775685519.2009
4774820,-0.19,0.0,IDLE,0,1775685519.2012
4774830,-0.19,0.0,IDLE,0,1775685519.2015
4774840,-0.18,0.0,IDLE,0,1775685519.2019
4774850,-0.19,0.0,IDLE,0,1775685519.2022
4774860,-0.19,0.0,IDLE,0,1775685519.2025
4774870,-0.19,0.0,IDLE,0,1775685519.2028
4774880,-0.20,0.0,IDLE,0,1775685519.203
4774890,-0.20,0.0,IDLE,0,1775685519.2033
4774900,-0.20,0.0,IDLE,0,1775685519.2036
4774910,-0.20,0.0,IDLE,0,1775685519.2038
4774920,-0.20,0.0,IDLE,0,1775685519.2041
4774930,-0.20,0.0,IDLE,0,1775685519.2043
4774940,-0.20,0.0,IDLE,0,1775685519.2045
4774950,-0.19,0.0,IDLE,0,1775685519.2048
4774960,-0.19,0.0,IDLE,0,1775685519.205
4774970,-0.19,0.0,IDLE,0,1775685519.2052
4774980,-0.19,0.0,IDLE,0,1775685519.2054
4774990,-0.19,0.0,IDLE,0,1775685519.2056
4775000,-0.19,0.0,IDLE,0,1775685519.2059
4775010,-0.19,0.0,IDLE,0,1775685519.2061
4775020,-0.19,0.0,IDLE,0,1775685519.2063
4775030,-0.19,0.0,IDLE,0,1775685519.2065
4775040,-0.19,0.0,IDLE,0,1775685519.2068
4775050,-0.19,0.0,IDLE,0,1775685519.207
4775060,-0.20,0.0,IDLE,0,1775685519.2073
4775070,-0.19,0.0,IDLE,0,1775685519.2075
4775080,-0.19,0.0,IDLE,0,1775685519.2078
4775090,-0.19,0.0,IDLE,0,1775685519.208
4775100,-0.19,0.0,IDLE,0,1775685519.2082
4775110,-0.19,0.0,IDLE,0,1775685519.2084
4775120,-0.19,0.0,IDLE,0,1775685519.2086
4775130,-0.18,0.0,IDLE,0,1775685519.2088
4775140,-0.18,0.0,IDLE,0,1775685519.2091
4775150,-0.18,0.0,IDLE,0,1775685519.2093
4775160,-0.18,0.0,IDLE,0,1775685519.2095
4775170,-0.18,0.0,IDLE,0,1775685519.2097
4775180,-0.19,0.0,IDLE,0,1775685519.2099
4775190,-0.19,0.0,IDLE,0,1775685519.2101
4775200,-0.19,0.0,IDLE,0,1775685519.2104
4775210,-0.19,0.0,IDLE,0,1775685519.2106
4775220,-0.19,0.0,IDLE,0,1775685519.2108
4775230,-0.19,0.0,IDLE,0,1775685519.211
4775240,-0.19,0.0,IDLE,0,1775685519.2112
4775250,-0.19,0.0,IDLE,0,1775685519.2115
4775260,-0.19,0.0,IDLE,0,1775685519.2118
4775270,-0.19,0.0,IDLE,0,1775685519.2122
4775280,-0.19,0.0,IDLE,0,1775685519.2125
4775290,-0.18,0.0,IDLE,0,1775685519.2129
4775300,-0.18,0.0,IDLE,0,1775685519.2133
4775310,-0.19,0.0,IDLE,0,1775685519.2136
4775320,-0.19,0.0,IDLE,0,1775685519.2139
4775330,-0.19,0.0,IDLE,0,1775685519.2142
4775340,-0.19,0.0,IDLE,0,1775685519.2145
4775350,-0.19,0.0,IDLE,0,1775685519.2148
4775360,-0.20,0.0,IDLE,0,1775685519.2151
4775370,-0.20,0.0,IDLE,0,1775685519.2154
4775380,-0.20,0.0,IDLE,0,1775685519.2157
4775390,-0.19,0.0,IDLE,0,1775685519.216
4775400,-0.19,0.0,IDLE,0,1775685519.2163
4775410,-0.19,0.0,IDLE,0,1775685519.2165
4775420,-0.19,0.0,IDLE,0,1775685519.2168
4775430,-0.18,0.0,IDLE,0,1775685519.217
4775440,-0.18,0.0,IDLE,0,1775685519.2173
4775450,-0.18,0.0,IDLE,0,1775685519.2175
4775460,-0.18,0.0,IDLE,0,1775685519.2178
4775470,-0.18,0.0,IDLE,0,1775685519.218
4775480,-0.19,0.0,IDLE,0,1775685519.2182
4775490,-0.19,0.0,IDLE,0,1775685519.2185
4775500,-0.19,0.0,IDLE,0,1775685519.2187
4775510,-0.19,0.0,IDLE,0,1775685519.2189
4775520,-0.19,0.0,IDLE,0,1775685519.2192
4775530,-0.19,0.0,IDLE,0,1775685519.2195
4775540,-0.19,0.0,IDLE,0,1775685519.2197
4775550,-0.19,0.0,IDLE,0,1775685519.2199
4775560,-0.18,0.0,IDLE,0,1775685519.2201
4775570,-0.18,0.0,IDLE,0,1775685519.2204
4775580,-0.18,0.0,IDLE,0,1775685519.2206
4775590,-0.18,0.0,IDLE,0,1775685519.2209
4775600,-0.18,0.0,IDLE,0,1775685519.2211
4775610,-0.18,0.0,IDLE,0,1775685519.2214
4775620,-0.18,0.0,IDLE,0,1775685519.2216
4775630,-0.18,0.0,IDLE,0,1775685519.2218
4775640,-0.18,0.0,IDLE,0,1775685519.2221
4775650,-0.18,0.0,IDLE,0,1775685519.2223
4775660,-0.19,0.0,IDLE,0,1775685519.2226
4775670,-0.19,0.0,IDLE,0,1775685519.2228
4775680,-0.18,0.0,IDLE,0,1775685519.223
4775690,-0.18,0.0,IDLE,0,1775685519.2232
4775700,-0.18,0.0,IDLE,0,1775685519.2234
4775710,-0.18,0.0,IDLE,0,1775685519.2237
4775720,-0.18,0.0,IDLE,0,1775685519.2239
4775730,-0.18,0.0,IDLE,0,1775685519.2241
4775740,-0.18,0.0,IDLE,0,1775685519.2243
4775750,-0.18,0.0,IDLE,0,1775685519.2245
4775760,-0.18,0.0,IDLE,0,1775685519.2247
4775770,-0.18,0.0,IDLE,0,1775685519.225
4775780,-0.18,0.0,IDLE,0,1775685519.2252
4775790,-0.18,0.0,IDLE,0,1775685519.2255
4775800,-0.18,0.0,IDLE,0,1775685519.2257
4775810,-0.18,0.0,IDLE,0,1775685519.2259
4775820,-0.18,0.0,IDLE,0,1775685519.2261
4775830,-0.18,0.0,IDLE,0,1775685519.2263
4775840,-0.18,0.0,IDLE,0,1775685519.2265
4775850,-0.18,0.0,IDLE,0,1775685519.2267
4775860,-0.18,0.0,IDLE,0,1775685519.227
4775870,-0.18,0.0,IDLE,0,1775685519.2272
4775880,-0.18,0.0,IDLE,0,1775685519.2275
4775890,-0.18,0.0,IDLE,0,1775685519.2278
4775900,-0.18,0.0,IDLE,0,1775685519.228
4775910,-0.18,0.0,IDLE,0,1775685519.2283
4775920,-0.18,0.0,IDLE,0,1775685519.2287
4775930,-0.18,0.0,IDLE,0,1775685519.229
4775940,-0.18,0.0,IDLE,0,1775685519.2293
4775950,-0.18,0.0,IDLE,0,1775685519.2297
4775960,-0.18,0.0,IDLE,0,1775685519.23
4775970,-0.18,0.0,IDLE,0,1775685519.2303
4775980,-0.18,0.0,IDLE,0,1775685519.2306
4775990,-0.18,0.0,IDLE,0,1775685519.2308
4776000,-0.18,0.0,IDLE,0,1775685519.231
4776010,-0.18,0.0,IDLE,0,1775685519.2312
4776020,-0.18,0.0,IDLE,0,1775685519.2315
4776030,-0.18,0.0,IDLE,0,1775685519.2317
4776040,-0.18,0.0,IDLE,0,1775685519.2319
4776050,-0.18,0.0,IDLE,0,1775685519.2321
4776060,-0.18,0.0,IDLE,0,1775685519.2323
4776070,-0.18,0.0,IDLE,0,1775685519.2326
4776080,-0.18,0.0,IDLE,0,1775685519.2328
4776090,-0.18,0.0,IDLE,0,1775685519.2331
4776100,-0.18,0.0,IDLE,0,1775685519.2333
4776110,-0.18,0.0,IDLE,0,1775685519.2336
4776120,-0.18,0.0,IDLE,0,1775685519.2338
4776130,-0.19,0.0,IDLE,0,1775685519.234
4776140,-0.19,0.0,IDLE,0,1775685519.2343
