t_s,ref,angulo,error,bias,d,epsilon,u,Timestamp_Python
0.695,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.5757
0.705,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.5867
0.716,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.5972
0.726,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.6072
0.737,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.6178
0.747,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747969.628
0.758,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747969.6388
0.767,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747969.6485
0.778,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747969.6589
0.788,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.6691
0.798,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.6793
0.808,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.6896
0.819,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.6997
0.829,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.7101
0.839,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.7207
0.85,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.7309
0.861,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.7424
0.87,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.7516
0.881,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.762
0.891,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.7721
0.901,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.7821
0.911,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.792
0.921,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8023
0.932,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8129
0.942,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8236
0.952,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8337
0.963,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8441
0.973,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8543
0.983,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8646
0.994,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8749
1.004,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8853
1.015,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.8959
1.025,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9059
1.035,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9163
1.046,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9268
1.056,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9369
1.066,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9474
