t_s,ref,angulo,error,bias,d,epsilon,u,Timestamp_Python
31.908,15.0,9.31,5.69,18.0,0.1,3.0,18.1,1775748000.7895
31.919,15.0,9.31,5.69,18.0,0.1,3.0,18.1,1775748000.7997
31.929,15.0,9.32,5.68,18.0,0.1,3.0,18.1,1775748000.8161
31.94,15.0,9.32,5.68,18.0,0.1,3.0,18.1,1775748000.8208
31.95,15.0,9.32,5.68,18.0,0.1,3.0,18.1,1775748000.8313
31.961,15.0,9.32,5.68,18.0,0.1,3.0,18.1,1775748000.8421
31.971,15.0,9.31,5.69,18.0,0.1,3.0,18.1,1775748000.8521
31.981,15.0,9.31,5.69,18.0,0.1,3.0,18.1,1775748000.8623
31.992,15.0,9.3,5.7,18.0,0.1,3.0,18.1,1775748000.8726
32.002,15.0,9.3,5.7,18.0,0.1,3.0,18.1,1775748000.8828
32.012,15.0,9.3,5.7,18.0,0.1,3.0,18.1,1775748000.8929
32.022,15.0,9.3,5.7,18.0,0.1,3.0,18.1,1775748000.9034
32.032,15.0,9.31,5.69,18.0,0.1,3.0,18.1,1775748000.9136
32.043,15.0,9.31,5.69,18.0,0.1,3.0,18.1,1775748000.924
32.054,15.0,9.32,5.68,18.0,0.1,3.0,18.1,1775748000.9349
32.064,15.0,9.33,5.67,18.0,0.1,3.0,18.1,1775748000.9448
32.074,15.0,9.33,5.67,18.0,0.1,3.0,18.1,1775748000.9549
32.085,15.0,9.34,5.66,18.0,0.1,3.0,18.1,1775748000.9657
32.095,15.0,9.34,5.66,20.0,0.1,3.0,20.1,1775748000.9764
32.105,15.0,9.33,5.67,20.0,0.1,3.0,20.1,1775748000.9865
32.116,15.0,9.33,5.67,20.0,0.1,3.0,20.1,1775748000.997
32.126,15.0,9.33,5.67,20.0,0.1,3.0,20.1,1775748001.0074
32.136,15.0,9.32,5.68,20.0,0.1,3.0,20.1,1775748001.0175
32.148,15.0,9.32,5.68,20.0,0.1,3.0,20.1,1775748001.029
32.157,15.0,9.31,5.69,20.0,0.1,3.0,20.1,1775748001.0381
32.168,15.0,9.31,5.69,20.0,0.1,3.0,20.1,1775748001.0487
32.178,15.0,9.31,5.69,20.0,0.1,3.0,20.1,1775748001.0589
32.188,15.0,9.31,5.69,20.0,0.1,3.0,20.1,1775748001.0693
32.198,15.0,9.32,5.68,20.0,0.1,3.0,20.1,1775748001.0794
32.209,15.0,9.33,5.67,20.0,0.1,3.0,20.1,1775748001.09
32.219,15.0,9.33,5.67,20.0,0.1,3.0,20.1,1775748001.1006
32.229,15.0,9.35,5.65,20.0,0.1,3.0,20.1,1775748001.1107
32.24,15.0,9.35,5.65,20.0,0.1,3.0,20.1,1775748001.1211
32.251,15.0,9.36,5.64,20.0,0.1,3.0,20.1,1775748001.1318
32.261,15.0,9.37,5.63,20.0,0.1,3.0,20.1,1775748001.1421
32.271,15.0,9.37,5.63,20.0,0.1,3.0,20.1,1775748001.1525
32.281,15.0,9.38,5.62,20.0,0.1,3.0,20.1,1775748001.1625
32.292,15.0,9.38,5.62,20.0,0.1,3.0,20.1,1775748001.1731
32.302,15.0,9.38,5.62,20.0,0.1,3.0,20.1,1775748001.1835
32.312,15.0,9.38,5.62,20.0,0.1,3.0,20.1,1775748001.1936
32.323,15.0,9.39,5.61,20.0,0.1,3.0,20.1,1775748001.2037
32.333,15.0,9.4,5.6,20.0,0.1,3.0,20.1,1775748001.2135
32.343,15.0,9.41,5.59,20.0,0.1,3.0,20.1,1775748001.2241
32.354,15.0,9.42,5.58,20.0,0.1,3.0,20.1,1775748001.2345
32.364,15.0,9.44,5.56,20.0,0.1,3.0,20.1,1775748001.245
32.374,15.0,9.45,5.55,20.0,0.1,3.0,20.1,1775748001.2553
32.385,15.0,9.47,5.53,20.0,0.1,3.0,20.1,1775748001.2659
32.396,15.0,9.48,5.52,20.0,0.1,3.0,20.1,1775748001.2766
32.406,15.0,9.49,5.51,20.0,0.1,3.0,20.1,1775748001.2868
32.416,15.0,9.5,5.5,20.0,0.1,3.0,20.1,1775748001.2973
32.427,15.0,9.51,5.49,20.0,0.1,3.0,20.1,1775748001.3079
32.437,15.0,9.51,5.49,20.0,0.1,3.0,20.1,1775748001.318
32.447,15.0,9.51,5.49,20.0,0.1,3.0,20.1,1775748001.328
32.457,15.0,9.52,5.48,20.0,0.1,3.0,20.1,1775748001.3384
32.468,15.0,9.53,5.47,20.0,0.1,3.0,20.1,1775748001.349
32.478,15.0,9.53,5.47,20.0,0.1,3.0,20.1,1775748001.3594
32.489,15.0,9.55,5.45,20.0,0.1,3.0,20.1,1775748001.3697
32.499,15.0,9.55,5.45,20.0,0.1,3.0,20.1,1775748001.3801
32.509,15.0,9.57,5.43,20.0,0.1,3.0,20.1,1775748001.3904
32.52,15.0,9.59,5.41,20.0,0.1,3.0,20.1,1775748001.4013
32.53,15.0,9.6,5.4,20.0,0.1,3.0,20.1,1775748001.4117
32.54,15.0,9.62,5.38,20.0,0.1,3.0,20.1,1775748001.4218
32.551,15.0,9.64,5.36,20.0,0.1,3.0,20.1,1775748001.4324
32.562,15.0,9.66,5.34,20.0,0.1,3.0,20.1,1775748001.4427
32.572,15.0,9.66,5.34,20.0,0.1,3.0,20.1,1775748001.4533
32.582,15.0,9.67,5.33,20.0,0.1,3.0,20.1,1775748001.4635
32.593,15.0,9.68,5.32,20.0,0.1,3.0,20.1,1775748001.474
32.603,15.0,9.69,5.31,20.0,0.1,3.0,20.1,1775748001.4843
32.613,15.0,9.7,5.3,20.0,0.1,3.0,20.1,1775748001.4946
32.624,15.0,9.71,5.29,20.0,0.1,3.0,20.1,1775748001.5048
32.634,15.0,9.72,5.28,20.0,0.1,3.0,20.1,1775748001.5151
32.644,15.0,9.73,5.27,20.0,0.1,3.0,20.1,1775748001.5249
32.654,15.0,9.75,5.25,20.0,0.1,3.0,20.1,1775748001.5356
32.665,15.0,9.76,5.24,20.0,0.1,3.0,20.1,1775748001.5463
32.676,15.0,9.77,5.23,20.0,0.1,3.0,20.1,1775748001.5567
32.686,15.0,9.79,5.21,20.0,0.1,3.0,20.1,1775748001.5669
32.696,15.0,9.8,5.2,20.0,0.1,3.0,20.1,1775748001.5774
32.707,15.0,9.82,5.18,20.0,0.1,3.0,20.1,1775748001.5879
32.717,15.0,9.82,5.18,20.0,0.1,3.0,20.1,1775748001.5979
32.727,15.0,9.84,5.16,20.0,0.1,3.0,20.1,1775748001.6084
32.738,15.0,9.84,5.16,20.0,0.1,3.0,20.1,1775748001.6187
32.748,15.0,9.85,5.15,20.0,0.1,3.0,20.1,1775748001.629
32.758,15.0,9.86,5.14,20.0,0.1,3.0,20.1,1775748001.6393
32.768,15.0,9.88,5.12,20.0,0.1,3.0,20.1,1775748001.6494
32.778,15.0,9.89,5.11,20.0,0.1,3.0,20.1,1775748001.6595
32.788,15.0,9.9,5.1,20.0,0.1,3.0,20.1,1775748001.6697
32.799,15.0,9.91,5.09,20.0,0.1,3.0,20.1,1775748001.68
32.809,15.0,9.93,5.07,20.0,0.1,3.0,20.1,1775748001.6904
32.82,15.0,9.94,5.06,20.0,0.1,3.0,20.1,1775748001.7008
32.83,15.0,9.96,5.04,20.0,0.1,3.0,20.1,1775748001.7115
32.841,15.0,9.98,5.02,20.0,0.1,3.0,20.1,1775748001.7216
32.851,15.0,9.99,5.01,20.0,0.1,3.0,20.1,1775748001.7318
32.861,15.0,10.01,4.99,20.0,0.1,3.0,20.1,1775748001.7423
32.872,15.0,10.04,4.96,20.0,0.1,3.0,20.1,1775748001.7527
32.882,15.0,10.04,4.96,20.0,0.1,3.0,20.1,1775748001.7633
32.893,15.0,10.05,4.95,20.0,0.1,3.0,20.1,1775748001.7736
32.903,15.0,10.06,4.94,20.0,0.1,3.0,20.1,1775748001.7839
32.913,15.0,10.07,4.93,20.0,0.1,3.0,20.1,1775748001.7942
32.923,15.0,10.07,4.93,20.0,0.1,3.0,20.1,1775748001.8046
32.934,15.0,10.08,4.92,20.0,0.1,3.0,20.1,1775748001.815
32.944,15.0,10.09,4.91,20.0,0.1,3.0,20.1,1775748001.8257
32.954,15.0,10.11,4.89,20.0,0.1,3.0,20.1,1775748001.8354
32.965,15.0,10.11,4.89,20.0,0.1,3.0,20.1,1775748001.8462
32.975,15.0,10.13,4.87,20.0,0.1,3.0,20.1,1775748001.8562
32.985,15.0,10.14,4.86,20.0,0.1,3.0,20.1,1775748001.8663
32.995,15.0,10.16,4.84,20.0,0.1,3.0,20.1,1775748001.8765
33.006,15.0,10.16,4.84,20.0,0.1,3.0,20.1,1775748001.8868
33.016,15.0,10.17,4.83,20.0,0.1,3.0,20.1,1775748001.8969
33.026,15.0,10.19,4.81,20.0,0.1,3.0,20.1,1775748001.9072
33.036,15.0,10.19,4.81,20.0,0.1,3.0,20.1,1775748001.9173
33.047,15.0,10.21,4.79,20.0,0.1,3.0,20.1,1775748001.9275
33.057,15.0,10.21,4.79,20.0,0.1,3.0,20.1,1775748001.9376
33.067,15.0,10.22,4.78,20.0,0.1,3.0,20.1,1775748001.9478
33.077,15.0,10.23,4.77,20.0,0.1,3.0,20.1,1775748001.958
33.088,15.0,10.24,4.76,20.0,0.1,3.0,20.1,1775748001.9689
33.098,15.0,10.25,4.75,20.0,0.1,3.0,20.1,1775748001.9789
33.108,15.0,10.26,4.74,20.0,0.1,3.0,20.1,1775748001.989
33.118,15.0,10.27,4.73,20.0,0.1,3.0,20.1,1775748001.999
33.128,15.0,10.28,4.72,20.0,0.1,3.0,20.1,1775748002.0092
33.139,15.0,10.29,4.71,20.0,0.1,3.0,20.1,1775748002.0197
33.149,15.0,10.29,4.71,20.0,0.1,3.0,20.1,1775748002.03
33.159,15.0,10.3,4.7,20.0,0.1,3.0,20.1,1775748002.0404
33.169,15.0,10.31,4.69,20.0,0.1,3.0,20.1,1775748002.0507
33.18,15.0,10.31,4.69,20.0,0.1,3.0,20.1,1775748002.0608
33.19,15.0,10.33,4.67,20.0,0.1,3.0,20.1,1775748002.0714
33.2,15.0,10.33,4.67,20.0,0.1,3.0,20.1,1775748002.0817
33.211,15.0,10.34,4.66,20.0,0.1,3.0,20.1,1775748002.0922
33.221,15.0,10.35,4.65,20.0,0.1,3.0,20.1,1775748002.1018
33.231,15.0,10.34,4.66,20.0,0.1,3.0,20.1,1775748002.1122
33.242,15.0,10.36,4.64,20.0,0.1,3.0,20.1,1775748002.1228
33.252,15.0,10.36,4.64,20.0,0.1,3.0,20.1,1775748002.133
33.262,15.0,10.37,4.63,20.0,0.1,3.0,20.1,1775748002.1432
33.272,15.0,10.39,4.61,20.0,0.1,3.0,20.1,1775748002.1534
33.283,15.0,10.39,4.61,20.0,0.1,3.0,20.1,1775748002.1637
33.293,15.0,10.41,4.59,20.0,0.1,3.0,20.1,1775748002.1745
33.303,15.0,10.42,4.58,20.0,0.1,3.0,20.1,1775748002.1844
33.313,15.0,10.43,4.57,20.0,0.1,3.0,20.1,1775748002.1943
33.324,15.0,10.44,4.56,20.0,0.1,3.0,20.1,1775748002.2047
33.334,15.0,10.45,4.55,20.0,0.1,3.0,20.1,1775748002.2152
33.345,15.0,10.45,4.55,20.0,0.1,3.0,20.1,1775748002.2257
33.355,15.0,10.46,4.54,20.0,0.1,3.0,20.1,1775748002.2363
33.366,15.0,10.46,4.54,20.0,0.1,3.0,20.1,1775748002.2467
33.376,15.0,10.46,4.54,20.0,0.1,3.0,20.1,1775748002.2569
33.386,15.0,10.46,4.54,20.0,0.1,3.0,20.1,1775748002.2669
33.396,15.0,10.46,4.54,20.0,0.1,3.0,20.1,1775748002.2776
33.406,15.0,10.47,4.53,20.0,0.1,3.0,20.1,1775748002.2871
33.416,15.0,10.48,4.52,20.0,0.1,3.0,20.1,1775748002.2973
33.426,15.0,10.48,4.52,20.0,0.1,3.0,20.1,1775748002.3073
33.437,15.0,10.5,4.5,20.0,0.1,3.0,20.1,1775748002.3179
33.447,15.0,10.5,4.5,20.0,0.1,3.0,20.1,1775748002.3279
33.457,15.0,10.51,4.49,20.0,0.1,3.0,20.1,1775748002.3382
33.468,15.0,10.51,4.49,20.0,0.1,3.0,20.1,1775748002.3487
33.478,15.0,10.53,4.47,20.0,0.1,3.0,20.1,1775748002.3588
33.488,15.0,10.53,4.47,20.0,0.1,3.0,20.1,1775748002.3689
33.498,15.0,10.54,4.46,20.0,0.1,3.0,20.1,1775748002.379
33.509,15.0,10.56,4.44,20.0,0.1,3.0,20.1,1775748002.3897
33.519,15.0,10.56,4.44,20.0,0.1,3.0,20.1,1775748002.3999
33.529,15.0,10.57,4.43,20.0,0.1,3.0,20.1,1775748002.41
33.539,15.0,10.57,4.43,20.0,0.1,3.0,20.1,1775748002.4201
33.549,15.0,10.58,4.42,20.0,0.1,3.0,20.1,1775748002.4305
33.56,15.0,10.58,4.42,20.0,0.1,3.0,20.1,1775748002.4407
33.57,15.0,10.59,4.41,20.0,0.1,3.0,20.1,1775748002.4511
33.58,15.0,10.6,4.4,20.0,0.1,3.0,20.1,1775748002.4612
33.59,15.0,10.61,4.39,20.0,0.1,3.0,20.1,1775748002.4714
33.601,15.0,10.61,4.39,20.0,0.1,3.0,20.1,1775748002.4818
33.611,15.0,10.62,4.38,20.0,0.1,3.0,20.1,1775748002.4923
33.621,15.0,10.63,4.37,20.0,0.1,3.0,20.1,1775748002.5024
33.632,15.0,10.64,4.36,20.0,0.1,3.0,20.1,1775748002.513
33.642,15.0,10.64,4.36,20.0,0.1,3.0,20.1,1775748002.523
33.652,15.0,10.65,4.35,20.0,0.1,3.0,20.1,1775748002.5333
33.663,15.0,10.66,4.34,20.0,0.1,3.0,20.1,1775748002.5438
33.673,15.0,10.65,4.35,20.0,0.1,3.0,20.1,1775748002.554
33.683,15.0,10.66,4.34,20.0,0.1,3.0,20.1,1775748002.5642
33.693,15.0,10.66,4.34,20.0,0.1,3.0,20.1,1775748002.5743
33.703,15.0,10.67,4.33,20.0,0.1,3.0,20.1,1775748002.5843
33.713,15.0,10.67,4.33,20.0,0.1,3.0,20.1,1775748002.5947
33.724,15.0,10.68,4.32,20.0,0.1,3.0,20.1,1775748002.6049
33.734,15.0,10.69,4.31,20.0,0.1,3.0,20.1,1775748002.6151
33.744,15.0,10.7,4.3,20.0,0.1,3.0,20.1,1775748002.6254
33.755,15.0,10.71,4.29,20.0,0.1,3.0,20.1,1775748002.6357
33.765,15.0,10.72,4.28,20.0,0.1,3.0,20.1,1775748002.646
33.775,15.0,10.73,4.27,20.0,0.1,3.0,20.1,1775748002.6563
33.785,15.0,10.74,4.26,20.0,0.1,3.0,20.1,1775748002.6668
33.796,15.0,10.75,4.25,20.0,0.1,3.0,20.1,1775748002.6769
33.806,15.0,10.75,4.25,20.0,0.1,3.0,20.1,1775748002.6873
33.816,15.0,10.76,4.24,20.0,0.1,3.0,20.1,1775748002.6976
33.827,15.0,10.76,4.24,20.0,0.1,3.0,20.1,1775748002.7078
33.837,15.0,10.76,4.24,20.0,0.1,3.0,20.1,1775748002.7182
33.847,15.0,10.76,4.24,20.0,0.1,3.0,20.1,1775748002.7283
33.857,15.0,10.76,4.24,20.0,0.1,3.0,20.1,1775748002.7383
33.868,15.0,10.76,4.24,20.0,0.1,3.0,20.1,1775748002.7487
33.878,15.0,10.77,4.23,20.0,0.1,3.0,20.1,1775748002.7589
33.888,15.0,10.77,4.23,20.0,0.1,3.0,20.1,1775748002.7694
33.898,15.0,10.78,4.22,20.0,0.1,3.0,20.1,1775748002.7795
33.908,15.0,10.78,4.22,20.0,0.1,3.0,20.1,1775748002.7894
33.919,15.0,10.8,4.2,20.0,0.1,3.0,20.1,1775748002.7997
33.929,15.0,10.8,4.2,20.0,0.1,3.0,20.1,1775748002.8102
33.939,15.0,10.81,4.19,20.0,0.1,3.0,20.1,1775748002.8205
33.95,15.0,10.81,4.19,20.0,0.1,3.0,20.1,1775748002.8308
33.96,15.0,10.81,4.19,20.0,0.1,3.0,20.1,1775748002.8411
33.97,15.0,10.81,4.19,20.0,0.1,3.0,20.1,1775748002.8514
33.981,15.0,10.82,4.18,20.0,0.1,3.0,20.1,1775748002.8625
33.991,15.0,10.82,4.18,20.0,0.1,3.0,20.1,1775748002.8726
34.001,15.0,10.83,4.17,20.0,0.1,3.0,20.1,1775748002.8826
34.012,15.0,10.84,4.16,20.0,0.1,3.0,20.1,1775748002.893
34.023,15.0,10.85,4.15,20.0,0.1,3.0,20.1,1775748002.904
34.032,15.0,10.85,4.15,20.0,0.1,3.0,20.1,1775748002.9134
34.042,15.0,10.86,4.14,20.0,0.1,3.0,20.1,1775748002.9235
34.053,15.0,10.86,4.14,20.0,0.1,3.0,20.1,1775748002.9337
34.063,15.0,10.87,4.13,20.0,0.1,3.0,20.1,1775748002.9443
34.074,15.0,10.87,4.13,20.0,0.1,3.0,20.1,1775748002.955
34.084,15.0,10.87,4.13,20.0,0.1,3.0,20.1,1775748002.9652
34.094,15.0,10.88,4.12,20.0,0.1,3.0,20.1,1775748002.975
34.104,15.0,10.88,4.12,20.0,0.1,3.0,20.1,1775748002.9854
34.115,15.0,10.88,4.12,20.0,0.1,3.0,20.1,1775748002.9959
34.125,15.0,10.88,4.12,20.0,0.1,3.0,20.1,1775748003.0064
34.135,15.0,10.89,4.11,20.0,0.1,3.0,20.1,1775748003.0165
34.146,15.0,10.89,4.11,20.0,0.1,3.0,20.1,1775748003.0268
34.156,15.0,10.89,4.11,20.0,0.1,3.0,20.1,1775748003.0371
34.166,15.0,10.9,4.1,20.0,0.1,3.0,20.1,1775748003.0475
34.177,15.0,10.9,4.1,20.0,0.1,3.0,20.1,1775748003.0579
34.187,15.0,10.9,4.1,20.0,0.1,3.0,20.1,1775748003.0683
34.197,15.0,10.9,4.1,20.0,0.1,3.0,20.1,1775748003.0785
34.208,15.0,10.91,4.09,20.0,0.1,3.0,20.1,1775748003.089
34.218,15.0,10.91,4.09,20.0,0.1,3.0,20.1,1775748003.0992
34.228,15.0,10.92,4.08,20.0,0.1,3.0,20.1,1775748003.1094
34.239,15.0,10.93,4.07,20.0,0.1,3.0,20.1,1775748003.1199
34.249,15.0,10.93,4.07,20.0,0.1,3.0,20.1,1775748003.13
34.259,15.0,10.94,4.06,20.0,0.1,3.0,20.1,1775748003.14
34.269,15.0,10.94,4.06,20.0,0.1,3.0,20.1,1775748003.1504
34.279,15.0,10.94,4.06,20.0,0.1,3.0,20.1,1775748003.1606
34.29,15.0,10.94,4.06,20.0,0.1,3.0,20.1,1775748003.1708
34.3,15.0,10.94,4.06,20.0,0.1,3.0,20.1,1775748003.1811
34.31,15.0,10.94,4.06,20.0,0.1,3.0,20.1,1775748003.1915
34.321,15.0,10.95,4.05,20.0,0.1,3.0,20.1,1775748003.2019
34.331,15.0,10.95,4.05,20.0,0.1,3.0,20.1,1775748003.2124
34.341,15.0,10.95,4.05,20.0,0.1,3.0,20.1,1775748003.2224
34.352,15.0,10.96,4.04,20.0,0.1,3.0,20.1,1775748003.2328
34.362,15.0,10.96,4.04,20.0,0.1,3.0,20.1,1775748003.2434
34.372,15.0,10.97,4.03,20.0,0.1,3.0,20.1,1775748003.2536
34.383,15.0,10.97,4.03,20.0,0.1,3.0,20.1,1775748003.2635
34.393,15.0,10.98,4.02,20.0,0.1,3.0,20.1,1775748003.274
34.404,15.0,10.98,4.02,20.0,0.1,3.0,20.1,1775748003.2847
34.414,15.0,10.98,4.02,20.0,0.1,3.0,20.1,1775748003.2949
34.424,15.0,10.97,4.03,20.0,0.1,3.0,20.1,1775748003.3054
34.435,15.0,10.98,4.02,20.0,0.1,3.0,20.1,1775748003.3156
34.445,15.0,10.97,4.03,20.0,0.1,3.0,20.1,1775748003.3258
34.455,15.0,10.97,4.03,20.0,0.1,3.0,20.1,1775748003.3362
34.465,15.0,10.97,4.03,20.0,0.1,3.0,20.1,1775748003.3465
34.475,15.0,10.98,4.02,20.0,0.1,3.0,20.1,1775748003.3564
34.486,15.0,10.98,4.02,20.0,0.1,3.0,20.1,1775748003.3665
34.496,15.0,10.99,4.01,20.0,0.1,3.0,20.1,1775748003.3767
34.506,15.0,11.0,4.0,20.0,0.1,3.0,20.1,1775748003.3871
34.516,15.0,11.0,4.0,20.0,0.1,3.0,20.1,1775748003.3972
34.526,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.4075
34.537,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.4178
34.547,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.4283
34.558,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.4389
34.568,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.4493
34.578,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.4595
34.589,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.4699
34.599,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.4801
34.609,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.4902
34.62,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.5007
34.63,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.5108
34.64,15.0,11.01,3.99,20.0,0.1,3.0,20.1,1775748003.5215
34.65,15.0,11.02,3.98,20.0,0.1,3.0,20.1,1775748003.5312
34.661,15.0,11.02,3.98,20.0,0.1,3.0,20.1,1775748003.5424
34.671,15.0,11.03,3.97,20.0,0.1,3.0,20.1,1775748003.5522
34.681,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.5625
34.691,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.5727
34.702,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.5829
34.712,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.5934
34.723,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.6038
34.733,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.6142
34.743,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.6245
34.753,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.6347
34.764,15.0,11.03,3.97,20.0,0.1,3.0,20.1,1775748003.6448
34.774,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.6548
34.784,15.0,11.03,3.97,20.0,0.1,3.0,20.1,1775748003.6648
34.794,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.675
34.804,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.6855
34.815,15.0,11.04,3.96,20.0,0.1,3.0,20.1,1775748003.696
34.825,15.0,11.05,3.95,20.0,0.1,3.0,20.1,1775748003.7062
34.835,15.0,11.05,3.95,20.0,0.1,3.0,20.1,1775748003.7162
34.845,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.7264
34.856,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.7371
34.866,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.7472
34.878,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.7588
34.887,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.768
34.897,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.7784
34.908,15.0,11.05,3.95,20.0,0.1,3.0,20.1,1775748003.7891
34.918,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.7995
34.929,15.0,11.05,3.95,20.0,0.1,3.0,20.1,1775748003.8098
34.939,15.0,11.05,3.95,20.0,0.1,3.0,20.1,1775748003.8201
34.949,15.0,11.05,3.95,20.0,0.1,3.0,20.1,1775748003.8302
34.959,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.8404
34.97,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.8509
34.98,15.0,11.06,3.94,20.0,0.1,3.0,20.1,1775748003.8609
34.99,15.0,11.07,3.93,20.0,0.1,3.0,20.1,1775748003.871
35.0,15.0,11.07,3.93,20.0,0.1,3.0,20.1,1775748003.881
35.01,15.0,11.08,3.92,20.0,0.1,3.0,20.1,1775748003.8913
35.02,15.0,11.08,3.92,20.0,0.1,3.0,20.1,1775748003.9016
35.031,15.0,11.08,3.92,20.0,0.1,3.0,20.1,1775748003.9119
35.041,15.0,11.08,3.92,20.0,0.1,3.0,20.1,1775748003.9224
35.051,15.0,11.07,3.93,20.0,0.1,3.0,20.1,1775748003.9326
35.061,15.0,11.07,3.93,20.0,0.1,3.0,20.1,1775748003.9426
35.072,15.0,11.08,3.92,20.0,0.1,3.0,20.1,1775748003.9531
35.082,15.0,11.08,3.92,20.0,0.1,3.0,20.1,1775748003.9632
35.093,15.0,11.08,3.92,20.0,0.1,3.0,20.1,1775748003.9737
35.103,15.0,11.08,3.92,20.0,0.1,3.0,20.1,1775748003.9838
35.113,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748003.9941
35.123,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.0044
35.133,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.0145
35.144,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.025
35.154,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.0352
35.165,15.0,11.1,3.9,20.0,0.1,3.0,20.1,1775748004.0457
35.175,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.0558
35.185,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.0665
35.196,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.077
35.206,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.0873
35.216,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.0975
35.226,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.1076
35.237,15.0,11.1,3.9,20.0,0.1,3.0,20.1,1775748004.1178
35.247,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.1284
35.258,15.0,11.1,3.9,20.0,0.1,3.0,20.1,1775748004.1385
35.268,15.0,11.09,3.91,20.0,0.1,3.0,20.1,1775748004.1492
35.279,15.0,11.1,3.9,20.0,0.1,3.0,20.1,1775748004.1596
35.289,15.0,11.1,3.9,20.0,0.1,3.0,20.1,1775748004.1701
35.299,15.0,11.1,3.9,20.0,0.1,3.0,20.1,1775748004.1803
35.309,15.0,11.11,3.89,20.0,0.1,3.0,20.1,1775748004.1906
35.32,15.0,11.11,3.89,20.0,0.1,3.0,20.1,1775748004.2007
35.33,15.0,11.11,3.89,20.0,0.1,3.0,20.1,1775748004.2113
35.34,15.0,11.12,3.88,20.0,0.1,3.0,20.1,1775748004.2217
35.351,15.0,11.12,3.88,20.0,0.1,3.0,20.1,1775748004.2319
35.361,15.0,11.12,3.88,20.0,0.1,3.0,20.1,1775748004.2423
35.371,15.0,11.12,3.88,20.0,0.1,3.0,20.1,1775748004.2526
35.382,15.0,11.11,3.89,20.0,0.1,3.0,20.1,1775748004.2628
35.392,15.0,11.12,3.88,20.0,0.1,3.0,20.1,1775748004.2732
35.402,15.0,11.11,3.89,20.0,0.1,3.0,20.1,1775748004.2832
35.412,15.0,11.12,3.88,20.0,0.1,3.0,20.1,1775748004.2934
35.423,15.0,11.12,3.88,20.0,0.1,3.0,20.1,1775748004.3036
35.433,15.0,11.13,3.87,20.0,0.1,3.0,20.1,1775748004.3138
35.443,15.0,11.14,3.86,20.0,0.1,3.0,20.1,1775748004.3242
35.453,15.0,11.14,3.86,20.0,0.1,3.0,20.1,1775748004.3346
35.464,15.0,11.14,3.86,20.0,0.1,3.0,20.1,1775748004.3452
35.474,15.0,11.14,3.86,20.0,0.1,3.0,20.1,1775748004.3552
35.485,15.0,11.14,3.86,20.0,0.1,3.0,20.1,1775748004.3661
35.495,15.0,11.14,3.86,20.0,0.1,3.0,20.1,1775748004.3763
35.505,15.0,11.14,3.86,20.0,0.1,3.0,20.1,1775748004.3864
