Timestamp_MS,Angulo,PWM,Modo
798700,0.81,0.0,IDLE
798710,0.81,0.0,IDLE
798720,0.81,0.0,IDLE
798730,0.81,0.0,IDLE
798740,0.82,0.0,IDLE
798750,0.82,0.0,IDLE
798760,0.82,0.0,IDLE
798770,0.82,0.0,IDLE
798780,0.82,0.0,IDLE
798790,0.82,0.0,IDLE
798800,0.81,0.0,IDLE
798810,0.81,0.0,IDLE
798820,0.81,0.0,IDLE
798830,0.81,0.0,IDLE
798840,0.81,0.0,IDLE
798850,0.81,0.0,IDLE
798860,0.82,0.0,IDLE
798870,0.82,0.0,IDLE
798880,0.82,0.0,IDLE
798890,0.82,0.0,IDLE
798900,0.82,0.0,IDLE
798910,0.82,0.0,IDLE
798920,0.82,0.0,IDLE
798930,0.82,0.0,IDLE
798940,0.82,0.0,IDLE
798950,0.82,0.0,IDLE
798960,0.82,0.0,IDLE
798970,0.82,0.0,IDLE
798980,0.82,0.0,IDLE
798990,0.82,0.0,IDLE
799000,0.82,0.0,IDLE
799010,0.82,0.0,IDLE
799020,0.82,0.0,IDLE
799030,0.82,0.0,IDLE
799040,0.82,0.0,IDLE
799050,0.82,0.0,IDLE
799060,0.82,0.0,IDLE
799070,0.82,0.0,IDLE
799080,0.82,0.0,IDLE
799090,0.82,0.0,IDLE
799100,0.82,0.0,IDLE
799110,0.83,0.0,IDLE
799120,0.83,0.0,IDLE
799130,0.82,0.0,IDLE
799140,0.82,0.0,IDLE
799150,0.82,0.0,IDLE
799160,0.82,0.0,IDLE
799170,0.82,0.0,IDLE
799180,0.82,0.0,IDLE
799190,0.82,0.0,IDLE
799200,0.82,0.0,IDLE
799210,0.82,0.0,IDLE
799220,0.82,0.0,IDLE
799230,0.83,0.0,IDLE
799240,0.83,0.0,IDLE
799250,0.83,0.0,IDLE
799260,0.83,0.0,IDLE
799270,0.82,0.0,IDLE
799280,0.82,0.0,IDLE
799290,0.82,0.0,IDLE
799300,0.82,0.0,IDLE
799310,0.82,0.0,IDLE
